Type,Tweet
Sports,days to go until the start of ct. Did you know Chris Gayle is the only player in the event s history to be dismissed for
Sports,Tonights Scottish First Division match between Dumbarton and Raith Rovers has been postponed due to a frozen pitch. http//t.co/DrLbDwmTSl
Sports,off the over  required Captain Faulkner to bowl the last over in close discussion with veteran Warne. Final spot on the line BBL
Politics,.GSANetwork raises awareness ; stands up to stop LGBT bullying in school ; online. http//t.co/FWIGvvVmi glaad
Sports,Another wonderful start from Englands newball pair; Anderson and Finn have been right on the money. NZ  from four overs NZvEng
Politics,Food Minister There will now be a legal entitlement along with monetary benefits with the Food Security Bill.
Sports,Precious four to Hartley with time running out. BBL bigfinals
Politics,Blasts Deja Vu. How many times have we been in this *exact* moment Failed or ignored intel/no cctvs/blame game and innocents dead.
Politics,RT FA_Books Book of the Day Why the occasional financial bubble is necessary for innovation. http//t.co/OGqKxHO
Sports,Djokovic wants to keep it sweet. AusOpen peat http//t.co/myMTCtX
Sports,st Test. . N Lyon to M Vijay  runs / IndvAus http//t.co/fVNlKTPB BCCI
Sports,Four off the first ball White gets a thick edge which flies off the bat to thrid man BBL bigfinals
Sports,Former Hull boss Phil Brown on bbclive Everton looked rattled and Matt Smith has come on and done his job. http//t.co/VTYllxrKZ
Sports,willsimmons_ Hi William  youll be pleased to hear its Palace v. Boro
Sports,If youre walking beside the Thames today watch out for BrentfordFC fans going to Chelsea by boat Via BeeInTheBush http//t.co/qewuUwt
Politics,President Obama Signs New Directive to Strengthen our Work to Advance Gender Equality Worldwide http//t.co/Eztrj
Politics,Obama We won t grow the middle class simply by shifting the cost of health care or college onto families that are already struggling.
Politics,On Jan  PM Abe received a courtesy call from Mr. Yoshihiro Murai Governor of Miyagi Prefecture.  http//t.co/EsyPGl
Politics,MandelaDay container library opens in one of South Africa s oldest townships http//t.co/jSGoJuOK
Politics,RT filmfare Interview Salman Khan represents what the Indian film industry should be  Milind Deora  http//t.co/VTuzj  http ...
Politics,Your constituents want you for your opinions your philosophy for you subjectivity ~ The Contender
Politics,President Obama holds a news conference amET. Live Signals on CH  and HD.
Politics,Video of last weeks hot topics pack Draghi pensions ; drug tests. Europarltv video http//t.co/GVBavM
Sports,RT CapitalOne_Cup RT by am tomorrow for a chance to win a special CapitalOneCup Final Mitre   Sports        ball T;Cs http//t.co/jUtIr ...
Politics,fhollande at EP there will be no respite while  out of  people looks for job and millions suffer from insecurity http//t.co/HcgYCGXH
Politics,Our team will be blogging regularly from the BCIM Car Rally on our blog http//t.co/bWgNWOh
Politics,February  Stitches in NelsonMandela s head removed by prison official HistoricalTweet
Politics,Does the crisis make us sick Follow STOA workshop on health protection w/ EU_Health WHO_Europe frm .pm CET     http//t.co/PtZkdO
Politics,PM Glasgow shortlisting fantastic for Glasgow ; vote of confidence in UK ability to host major sporting events http//t.co/ETQyEec
Politics,SmitaRoy always )
Sports,Heres dembabafoot talking about his FA Cup hopes ahead of tonights tie http//t.co/zhWwrxL CFC
Politics,Surgeon General says its hazardous to breathe Ill have another cigarette because I cant see. Tell me who youre going to believe ~ GnR
Sports,Somehow you always find yourself in the middle of a    sports       related debate.
Politics,Find out more about Catherine Ashton head of EU_eeas in a EuroparlLibrary brief http//t.co/axyzAh
Politics,RussianIndian talks http//t.co/WFafN
Sports,MCC reveal squad for Argentina trip http//t.co/BfKXwjVLV
Sports,richjamesmetro Hi again we have your details so one of our comms team will contact you  might not be Monday is that ok
Sports,What a match qldcricket have won the RyobiODC Final in a thriller at the MCG. Amazing scenes Scorecard http//t.co/MfJTlhTc
Sports,st Test. . R Ashwin to D Warner  runs / IndvAus http//t.co/fVNlKTPB BCCI
Sports,st Test. . WICKET S Watson is out c Virender Sehwag b Ravichandran Ashwin / IndvAus http//t.co/fVNlKTPB BCCI
Sports,Everton starting XI v Oldham Howard Coleman Jagielka Distin Baines Mirallas Neville Gibson Pienaar Osman Jelavic. EFC
Sports,GOAL Real Madrid score a third through  Raphaebl Varane who rises highest to head home. Barca  Real (agg ) ElClasico
Politics,On Jan  PM Abe held the first meeting of the Headquarters on the Abduction Issue.  http//t.co/uwFgNlk
Politics,Join Empowering LGBT Youth ; Combating Homophobia in    Sports        Q;A with angelahucles Feb. at EST/UTC http//t.co/MBKiAwf CONX
